#          time               [KKK-P]               [KK-PP]              [K-PP]
      0.20400000E+04       0.21022552E+01       0.10565601E+04       0.98849125E+03
      0.20600000E+04       0.21084828E+01       0.10584006E+04       0.98853725E+03
      0.20800000E+04       0.21138706E+01       0.10600565E+04       0.98857851E+03
      0.21000000E+04       0.21184985E+01       0.10615442E+04       0.98861546E+03
      0.21200000E+04       0.21224426E+01       0.10628793E+04       0.98864854E+03
      0.21400000E+04       0.21257747E+01       0.10640760E+04       0.98867812E+03
      0.21600000E+04       0.21285621E+01       0.10651473E+04       0.98870455E+03
      0.21800000E+04       0.21308671E+01       0.10661055E+04       0.98872814E+03
      0.22000000E+04       0.21327470E+01       0.10669616E+04       0.98874918E+03
      0.22200000E+04       0.21342544E+01       0.10677258E+04       0.98876794E+03
      0.22400000E+04       0.21354369E+01       0.10684072E+04       0.98878465E+03
      0.22600000E+04       0.21363377E+01       0.10690144E+04       0.98879951E+03
      0.22800000E+04       0.21369956E+01       0.10695549E+04       0.98881273E+03
      0.23000000E+04       0.21374454E+01       0.10700356E+04       0.98882448E+03
      0.23200000E+04       0.21377178E+01       0.10704627E+04       0.98883491E+03
      0.23400000E+04       0.21378404E+01       0.10708420E+04       0.98884417E+03
      0.23600000E+04       0.21378373E+01       0.10711785E+04       0.98885238E+03
      0.23800000E+04       0.21377299E+01       0.10714768E+04       0.98885965E+03
      0.24000000E+04       0.21375368E+01       0.10717410E+04       0.98886608E+03
      0.24200000E+04       0.21372743E+01       0.10719748E+04       0.98887178E+03
      0.24400000E+04       0.21369563E+01       0.10721815E+04       0.98887681E+03
      0.24600000E+04       0.21365953E+01       0.10723640E+04       0.98888125E+03
      0.24800000E+04       0.21362016E+01       0.10725252E+04       0.98888517E+03
      0.25000000E+04       0.21357842E+01       0.10726672E+04       0.98888863E+03
      0.25200000E+04       0.21353508E+01       0.10727923E+04       0.98889167E+03
      0.25400000E+04       0.21349079E+01       0.10729024E+04       0.98889435E+03
      0.25600000E+04       0.21344609E+01       0.10729992E+04       0.98889670E+03
      0.25800000E+04       0.21340142E+01       0.10730841E+04       0.98889877E+03
      0.26000000E+04       0.21335718E+01       0.10731586E+04       0.98890058E+03
      0.26200000E+04       0.21331365E+01       0.10732238E+04       0.98890216E+03
      0.26400000E+04       0.21327109E+01       0.10732808E+04       0.98890355E+03
      0.26600000E+04       0.21322969E+01       0.10733306E+04       0.98890476E+03
      0.26800000E+04       0.21318961E+01       0.10733740E+04       0.98890581E+03
      0.27000000E+04       0.21315096E+01       0.10734118E+04       0.98890673E+03
      0.27200000E+04       0.21311381E+01       0.10734446E+04       0.98890753E+03
      0.27400000E+04       0.21307822E+01       0.10734730E+04       0.98890822E+03
      0.27600000E+04       0.21304423E+01       0.10734976E+04       0.98890882E+03
      0.27800000E+04       0.21301184E+01       0.10735188E+04       0.98890934E+03
      0.28000000E+04       0.21298105E+01       0.10735371E+04       0.98890978E+03
      0.28200000E+04       0.21295185E+01       0.10735528E+04       0.98891016E+03
      0.28400000E+04       0.21292420E+01       0.10735662E+04       0.98891049E+03
      0.28600000E+04       0.21289807E+01       0.10735776E+04       0.98891077E+03
      0.28800000E+04       0.21287342E+01       0.10735873E+04       0.98891100E+03
      0.29000000E+04       0.21285019E+01       0.10735955E+04       0.98891120E+03
      0.29200000E+04       0.21282834E+01       0.10736023E+04       0.98891137E+03
      0.29400000E+04       0.21280782E+01       0.10736081E+04       0.98891151E+03
