#      EC50_KKK-P                    [KKK-P]              EC50_KK-PP                    [KK-PP]               EC50_K-PP                    [K-PP]
   2.8581035862195035E-002   2.6126140790633610E-002  0.45116772823779216        9.6271198260363969E-002   1.2611275779257214       0.76155022713044307     
   3.0262273265853568E-002   2.7729310442998058E-002  0.47770700636942703       0.11255667959949363        1.3353115530978228       0.79883265010229410     
   3.1943510669512100E-002   2.9355043451978678E-002  0.50424628450106190       0.12958076941010371        1.4094955282699240       0.82807275218927001     
   3.3624748073170632E-002   3.1005729905666139E-002  0.53078556263269672       0.14730238877607590        1.4836795034420254       0.85149222280607040     
   3.5305985476829164E-002   3.2683240471229329E-002  0.55732484076433153       0.16566624878661654        1.5578634786141266       0.87057046253792569     
   3.6987222880487697E-002   3.4389027200371791E-002  0.58386411889596634       0.18460698203851403        1.6320474537862280       0.88633161303508667     
   3.8668460284146229E-002   3.6124175495277022E-002  0.61040339702760127       0.20405259750420743        1.7062314289583291       0.89950761842096516     
   4.0349697687804761E-002   3.7889428206006409E-002  0.63694267515923608       0.22392710880235908        1.7804154041304305       0.91063539352179401     
   4.2030935091463294E-002   3.9685193631425496E-002  0.66348195329087090       0.24415249973188216        1.8545993793025317       0.92011735794525551     
   4.3712172495121826E-002   4.1511544099338993E-002  0.69002123142250582       0.26465020201253237        1.9287833544746331       0.92826062957086763     
   4.5393409898780358E-002   4.3368209115151414E-002  0.71656050955414063       0.28534221981711572        2.0029673296467343       0.93530324407741616     
   4.7074647302438891E-002   4.5254565681549071E-002  0.74309978768577545       0.30615199741887261        2.0771513048188357       0.94143218662976769     
   4.8755884706097423E-002   4.7169627690767366E-002  0.76963906581741026       0.32700509804460992        2.1513352799909371       0.94679608720827690     
   5.0437122109755955E-002   4.9112035948664291E-002  0.79617834394904519       0.34782974232764530        2.2255192551630381       0.95151434057783468     
   5.2118359513414488E-002   5.1080050231030155E-002  0.82271762208068000       0.36855724104513349        2.2997032303351395       0.95568377309186903     
   5.3799596917073020E-002   5.3071544698695676E-002  0.84925690021231481       0.38912234710189264        2.3738872055072409       0.95938359123581041     
   5.5480834320731552E-002   5.5084007951336590E-002  0.87579617834394963       0.40946354465828882        2.4480711806793423       0.96267910477397078     
   5.7162071724390084E-002   5.7114548942185567E-002  0.90233545647558455       0.42952328803596046        2.5222551558514432       0.96562456199511271     
   5.8843309128048617E-002   5.9159909881365165E-002  0.92887473460721937       0.44924819903199581        2.5964391310235446       0.96826533243848634     
   6.0524546531707149E-002   6.1216487105334741E-002  0.95541401273885418       0.46858922819396132        2.6706231061956460       0.97063960395674820     
   6.2205783935365681E-002   6.3280360671595967E-002  0.98195329087048910       0.48750178323515780        2.7448070813677474       0.97277971412624775     
   6.3887021339024214E-002   6.5347333145094180E-002   1.0084925690021238       0.50594582596847737        2.8189910565398484       0.97471320345584356     
